answer_id,score
0,-0.99999994
1,-0.99999994
2,-0.99999094
3,0.9999859
4,-1.0
5,-0.99999964
6,-0.9999993
7,0.99999994
8,1.0
9,-1.0
10,-0.9380916
11,-0.99730635
12,-0.9999999
13,-0.39833698
14,-0.9716658
15,1.0
16,1.0
17,0.9999999
18,0.99698114
19,0.99999994
20,1.0
21,0.9999915
22,1.0
23,1.0
24,1.0
25,1.0
26,0.99999833
27,0.9999383
28,0.99981177
29,-0.99999654
30,-1.0
31,-0.9999625
32,-0.72567916
33,-0.9679715
34,-1.0
35,0.9999999
36,1.0
37,0.73582935
38,0.9999982
39,1.0
40,0.9999338
41,-0.99743026
42,0.9987918
43,0.99999994
44,1.0
45,0.999997
46,0.9999997
47,0.99999976
48,1.0
49,0.99999994
50,0.999749
51,1.0
52,0.99664015
53,0.9999999
54,0.9999987
55,0.99999994
56,1.0
57,1.0
58,-0.99999994
59,0.9999971
60,0.15348725
61,0.65472925
62,-0.9632588
63,0.99998605
64,0.997671
65,0.9998238
66,0.9998934
67,-0.18987945
68,-0.018563164
69,0.9883707
70,0.99859023
71,0.99997956
72,-0.76568264
73,-0.91869485
74,-1.0
75,-0.964591
76,0.9955788
77,0.99996436
78,-0.32947144
79,-0.8350886
80,-0.9998299
81,-0.45083302
82,0.7888584
83,0.9821515
84,-0.03256546
85,0.84543
86,0.9999979
87,0.97999036
88,-0.046060372
89,-0.99997836
90,0.66128254
91,0.99950856
92,0.12194722
93,0.9999996
94,0.9994463
95,1.0
96,0.99992955
97,-0.9791285
98,-0.81801903
99,-0.99999106
100,-0.95889276
101,0.9821462
102,0.99118793
103,0.9721084
104,-1.0
105,1.0
106,1.0
107,1.0
108,0.13482994
109,0.9999994
110,-0.98026454
111,-0.9976763
112,0.9977455
113,0.9999959
114,-0.97916776
115,-0.05858506
116,0.9999839
117,0.99999356
118,0.99999
119,0.99999976
120,1.0
121,1.0
122,1.0
123,1.0
124,0.99999905
125,1.0
126,0.9999999
127,0.9985996
128,0.9637089
129,0.999998
130,0.9999997
131,0.99992174
132,1.0
133,0.9999996
134,0.99999994
135,1.0
136,0.99863684
137,0.99999994
138,-0.9771381
139,0.99999917
140,0.9990946
141,-0.16899997
142,0.99999934
143,0.9999977
144,0.999182
145,0.98124397
146,0.99895203
147,1.0
148,-0.9993202
149,1.0
150,0.994048
151,-0.99998873
152,-0.87564754
153,0.8514646
154,0.9997883
155,-0.9967616
156,1.0
157,1.0
158,0.99999
159,0.9999934
160,0.99999905
161,0.9843226
162,1.0
163,1.0
164,1.0
165,1.0
166,-0.999967
167,-0.9999981
168,-0.99999994
169,-0.99999523
170,0.99999994
171,-0.9996353
172,0.99998766
173,1.0
174,1.0
175,0.9999988
176,0.9976782
177,-0.9999999
178,1.0
179,0.9999982
180,1.0
181,-1.0
182,-1.0
183,1.0
184,-1.0
185,-0.99999976
186,-1.0
187,1.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,0.69353217
193,-0.7754567
194,-0.9999975
195,-0.74534816
196,0.99921167
197,-1.0
198,-0.23548415
199,-1.0
200,-0.99999946
201,-0.50678384
202,-1.0
203,-1.0
204,-1.0
205,-0.9999999
206,-1.0
207,-1.0
208,-0.85617054
209,-0.9995575
210,0.99999994
211,0.9999998
212,0.99999887
213,-0.9999998
214,-0.9987013
215,-0.9977566
216,-0.99999857
217,-0.9999996
218,0.00073480594
219,-1.0
220,-1.0
221,-0.9999997
222,-0.99999946
223,-1.0
224,-1.0
225,-0.99999994
226,-0.99999714
227,-0.91424453
228,-0.98763746
229,-1.0
230,-1.0
231,0.99999976
232,0.99999964
233,0.9998875
234,-0.9936557
235,0.99999964
236,-0.3655971
237,0.5176077
238,0.9923615
239,-0.91138244
240,0.9999983
241,0.9999931
242,0.9998226
243,0.99999994
244,1.0
245,1.0
246,0.046967674
247,0.9999872
248,-1.0
249,-1.0
250,-0.99979705
251,-1.0
252,-1.0
253,-0.9999907
254,-0.9998923
255,-1.0
256,0.9987612
257,0.9997729
258,0.99999404
259,0.8206172
260,0.9823606
261,0.9999947
262,0.9817404
263,0.98598176
264,-0.9679866
265,-0.99999744
266,-0.9968913
267,-0.9812315
268,0.9843403
269,-1.0
270,-1.0
271,-0.94822454
272,0.9563293
273,-0.99999976
274,-0.43146947
275,0.9064346
276,0.9991883
277,0.9999968
278,1.0
279,0.99999994
280,1.0
281,-1.0
282,-1.0
283,0.99938995
284,1.0
285,0.9995505
286,0.4028437
287,0.99979043
288,0.99999595
289,-0.117444396
290,0.99919057
291,0.8654336
292,-0.8515804
293,0.9999928
294,-0.99547136
295,1.0
296,-0.7590261
297,-0.999401
298,-0.9792272
299,-1.0
300,0.9999865
301,1.0
302,0.9998158
303,-0.816395
304,0.9991308
305,0.9999995
306,-0.8396988
307,-0.8866886
308,-1.0
309,-0.87944573
310,-0.9999493
311,-1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,0.9999834
319,0.99875665
320,-0.9999888
321,0.93088454
322,0.99975157
323,-0.99999243
324,-0.99995124
325,-0.25296482
326,-0.9999998
327,-0.99993485
328,-0.046060372
329,0.97999036
330,-1.0
331,0.99597514
332,0.84708744
333,0.9716077
334,1.0
335,1.0
336,0.99999994
337,1.0
338,0.9999909
339,0.99999493
340,0.96864575
341,-1.0
342,-0.9999131
343,-0.97321886
344,-0.999966
345,-1.0
346,-0.99999803
347,-0.3194565
348,-1.0
349,-1.0
350,-1.0
351,-1.0
352,-1.0
353,-1.0
354,-1.0
355,-0.99799097
356,-0.9999994
357,0.9981664
358,-0.7101643
359,-0.6694546
360,0.97764415
361,0.9749404
362,-0.99954325
363,0.999845
364,0.9999339
365,1.0
366,0.99991626
367,0.9756236
368,1.0
369,0.999243
370,0.99786854
371,0.9568109
372,0.99999595
373,0.9847557
374,0.9645411
375,-0.9935626
376,-0.0056961756
377,-0.44224346
378,-0.98527616
379,-1.0
380,0.9934229
381,-0.90071356
382,-1.0
383,0.643971
384,-1.0
385,-0.7968849
386,-0.95652074
387,0.7372018
388,0.99999994
389,1.0
390,1.0
391,0.9999531
392,0.99999624
393,1.0
394,1.0
395,-0.99999994
396,-1.0
397,-1.0
398,-0.98405194
399,0.9914995
400,-0.9999988
401,0.9999905
402,-0.9999971
403,-0.99999994
404,-1.0
405,0.99598265
406,-0.8441329
407,0.6451851
408,-0.9960088
409,-0.86859304
410,0.99999946
411,-1.0
412,-0.99999917
413,-0.9999964
414,0.56860733
415,-1.0
416,0.9998843
417,0.9968297
418,0.9999999
419,-0.4905884
420,-0.9995439
421,-0.9234334
422,0.501804
423,-0.9999999
424,-1.0
425,-0.93521076
426,0.91117007
427,-0.9999993
428,-0.98055404
429,-0.14885856
430,-0.9999851
431,-0.99999946
432,-1.0
433,-0.9999873
434,-1.0
435,-0.9999996
436,-0.99999994
437,0.99522454
438,0.9284326
439,0.9999992
440,-0.99532706
441,-0.4861687
442,1.0
443,0.99999905
444,0.99999994
445,0.9999635
446,-0.9310633
447,0.8094058
448,0.98043245
449,0.9737451
450,0.9563228
451,0.5124387
